============================================================
OURRASSOL 2098 — Correction échelle impact_local/global
============================================================

72 fichier(s) à corriger.

[1/72] agence_stabilisation_climatique_new_sustainability.md (actuel : local=6, global=9)... ✓ -> local=3, global=5
[2/72] agence_stabilisation_climatique_policy_reform.md (actuel : local=4, global=9)... ✓ -> local=2, global=5
[3/72] agence_stabilisation_climatique_reference.md (actuel : local=4, global=7)... ✓ -> local=2, global=5
[4/72] alliance_blocs_souverains_breakdown.md (actuel : local=2, global=6)... ✓ -> local=3, global=4
[5/72] alliance_blocs_souverains_fortress_world.md (actuel : local=4, global=8)... ✓ -> local=3, global=4
[6/72] alliance_blocs_souverains_reference.md (actuel : local=4, global=7)... ✓ -> local=2, global=4
[7/72] amara_diallo_nkosi_breakdown.md (actuel : local=7, global=3)... ✓ -> local=4, global=1
[8/72] amara_diallo_nkosi_new_sustainability.md (actuel : local=6, global=88)... ✓ -> local=3, global=4
[9/72] amara_diallo_nkosi_policy_reform.md (actuel : local=72, global=85)... ✓ -> local=4, global=4
[10/72] amara_diallo_nkosi_reference.md (actuel : local=72, global=58)... ✓ -> local=4, global=3
[11/72] armada_logistique_nordique_breakdown.md (actuel : local=7, global=8)... ✓ -> local=5, global=4
[12/72] armada_logistique_nordique_fortress_world.md (actuel : local=7, global=9)... ✓ -> local=4, global=5
[13/72] armada_logistique_nordique_reference.md (actuel : local=6, global=8)... ✓ -> local=3, global=5
[14/72] assemblee_territoires_policy_reform.md (actuel : local=6, global=9)... ✓ -> local=3, global=5
[15/72] bureau_gouvernance_algorithmique_fortress_world.md (actuel : local=82, global=61)... ✓ -> local=5, global=4
[16/72] bureau_gouvernance_algorithmique_new_sustainability.md (actuel : local=5, global=9)... ✓ -> local=2, global=5
[17/72] bureau_gouvernance_algorithmique_policy_reform.md (actuel : local=4, global=9)... ✓ -> local=2, global=5
[18/72] collectifs_du_seuil_breakdown.md (actuel : local=8, global=3)... ✓ -> local=4, global=2
[19/72] collectifs_du_seuil_eco_communalism.md (actuel : local=6, global=2)... ✓ -> local=3, global=1
[20/72] collectifs_du_seuil_fortress_world.md (actuel : local=6, global=4)... ✓ -> local=4, global=2
